Tweet_count,Username,Text,Created At,Retweets,Likes
54,Michel Viot,"Cette affiche officielle a l’immense avantage de représenter la France de 2024 et ses dirigeants…plus de croix sur les Invalides, pas de drapeaux français ! Il ne manque que les « avortoirs constitutionnels »! https://t.co/2v4r2B2qqg",Tue Mar 05 12:00:39 +0000 2024,70,245
55,Netflix France,"Certaines de vos séries préférées reviendront… en 2024.

La Chronique des Bridgerton S3 P1 = 16 mai
Sweet Tooth S3 = 6 juin
La Chronique des Bridgerton S3 P2 = 13 juin
Nouvelle École S3 = 4 juillet
Cobra Kai S6 = 18 juillet
Umbrella Academy S4 = 8 août
Emily in Paris S4 P1 = 15",Fri May 10 14:00:19 +0000 2024,254,2231
56,BL France,"[NEWS] Le manga #HidamariGaKikoeru est de nouveau adapté, cette fois-ci en série !

Kôhei, un étudiant malentendant, a du mal à nouer des amitiés... jusqu'à ce que Taichi débarque dans sa vie~❤️🌻

❤️ Nakazawa Motoki × Kobayashi Toranosuke

📅 3 juillet 2024

 #ひだまりが聴こえる https://t.co/E0jE4lrgAX",Thu May 30 17:59:27 +0000 2024,2,30
57,FFF,"La 𝒄𝒊𝒕𝒆́ 𝒑𝒉𝒐𝒄𝒆́𝒆𝒏𝒏𝒆 en mode 𝑩𝒍𝒆𝒖𝒔 🇫🇷

📺 RDV à 𝟮𝟭𝗛 sur @TF1 pour #FRACHI 🔥 https://t.co/AEp27uUX7i",Tue Mar 26 08:29:44 +0000 2024,17,212
58,AssTarion #FrontPopulaire,"""Mais pourquoi personne ne s'est soulevé et a txé Hitler quand ils en avaient l'occasion ?? Pourquoi les gens n'ont rien fait""
France 2024, on invite un genocidaire, un meurtrier d'enfants à la télévision pour une interview tout en diplomatie et en lustrage de couilles.",Thu May 30 19:15:39 +0000 2024,27,91
59,Equipe de France ⭐⭐,"𝑴𝑨𝑹𝑺𝑬𝑰𝑳𝑳𝑬, terre de passion et de football, accueille les Bleus à l’Orange Vélodrome 💙

🇫🇷 France 🆚 Chili 🇨🇱
⌚️ 21h00 sur @TF1 📺

#FRACHI | #FiersdetreBleus https://t.co/ApGs6pNHj0",Tue Mar 26 07:19:08 +0000 2024,293,2616
60,Actu Bleus,"🇫🇷 OFFICIEL ! 🔴

Le groupe de l'Équipe de France pour l'Euro 2024.

🇫🇷 FRANCE
🇳🇱 Pays-Bas 
🇦🇹 Autriche
🇵🇱 Pologne https://t.co/60FCRmqAnk",Wed Mar 27 10:08:50 +0000 2024,19,234
61,𝐊𝐌𝐓.,"‼️Here is the Potential Starting 11 of France in Euro 2024 according to @Score90_ 

What's your thoughts 🤔? https://t.co/KFMjPYciY8",Fri Mar 08 11:18:23 +0000 2024,24,357
62,France-AfriqueMÉDIA,"ACTU
FRANCE 🇫🇷 : JO 2024: l'Iran 🇮🇷 encourage le terrorisme en Europe, selon les renseignements Israëliens (Mossad) https://t.co/jgPGl2TobI",Thu May 30 18:32:51 +0000 2024,0,1
63,Lu,"france could still surprise with the staging and collect the most points cuz other potential winners might cancel each other, 🇳🇱 vs 🇭🇷 and
🇧🇪 vs 🇨🇭 
how iconic it would be if the first released song won in the end  
https://t.co/JZbNlt3uN2",Thu Apr 25 15:33:48 +0000 2024,14,215
64,Sports Digitale,"🇫🇷 Fransa, Euro 2024 aday kadrosunu açıkladı. https://t.co/73apLEmpx5",Thu May 16 18:30:29 +0000 2024,4,322
65,PRCF 74,"TOUR D’HORIZON ET VEILLÉE D’ARMES : SUR LA SITUATION EN FRANCE ET DANS LE MONDE, LES ACTIONS DÉCISIVES À ENTREPRENDRE
26 mai 2024 – Par G. Gastaud, directeur politique d’https://t.co/sF6IK0ZKpz, et @GDestaerck, responsable @JRCF_
1ER FIL :

""Rien n’est plus révolutionnaire
⤵️ https://t.co/dpbrxd2YPT",Thu May 30 17:18:36 +0000 2024,4,13
66,Fabrizio Romano,"🚨🇫🇷 France full squad for Euro 2024.

🧤 Aréola, Maignan, Samba.

🛡️ Koundé, Clauss, Pavard, Konaté, Saliba, Upamecano, Hernandez, Mendy.

🧠 Camavinga, Fofana, Rabiot, Zaire-Emery, Tchouaméni, Griezmann, Kanté.

⚽️ Barcola, Dembélé, Coman, Giroud, Kolo Muani, Mbappé, Thuram. https://t.co/cu0HSgOP2N",Thu May 16 18:32:05 +0000 2024,5515,60113
