Tweet_count,Username,Text,Created At,Retweets,Likes
74,Falcon,"""Allah Akbar et F*ck Jesus"", ont-ils écrit sur une église en France. Ils nous détestent. https://t.co/8ZpCSVLBA0",Wed Sep 11 15:29:37 +0000 2024,1424,4033
75,AlertesInfos,"🇫🇷 FLASH - La région Île-de-France ""appelle"" Anne Hidalgo à renoncer à son projet de limiter la vitesse sur le périphérique parisien à 50 km/h. (AFP) https://t.co/P86tCH9ivW",Wed Sep 11 09:40:24 +0000 2024,1263,12722
76,Je Réinforme,"""Selon nos informations, il s’appellerait Abdoul D. Né en 1999 en Isère, il est majeur.""

Et bim les fachos, il est né en France, Abdoul Doudoubamboulabango est donc Français-comme-vous-et-moi ! https://t.co/V5KAvJdqn6",Mon Sep 09 17:28:56 +0000 2024,250,1284
77,Debunker NEWS,"Meyer Habib demande à la France de s'inspirer des méthodes israéliennes, pour ""lutter contre les méchants musulmans qui veulent islamiser l'Europe""🤢

📽️Abonnez-vous sur https://t.co/NUCZMblEBk https://t.co/IiZ7VGlqIF",Wed Sep 11 10:13:19 +0000 2024,132,260
78,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,Je connais bien d autres partis politiques classés à droite qui n existeraient plus s ils avaient osé dire le dixième de ce que fait la France Insoumise  !!! https://t.co/3SIdh6HCOd,Wed Sep 11 07:36:54 +0000 2024,607,1553
79,Fil Rouge France,"Nouveau scandale à #Grenoble 
Aussi pourris qu'Eric #Piolle , les adjoints Gilles #Namur et Pierre #Meriaux s'amusent beaucoup juste avant l’hommage à Lilian #Dejean alors que les collègues de l'employé municipal assassiné par une racaille sont effondrés https://t.co/9pdcj2UInS",Tue Sep 10 16:37:48 +0000 2024,2425,3807
80,Guillaume Mélanie 🏳️‍🌈,"Faudra m’expliquer pourquoi l’idéologie des terroristes islamistes a été propagée lors de la manifestation pour la destitution du Président ?

Cet homme prône l’intifada sur Paris, sur la France, devant une foule qui semble être d’accord.

C’est normal ?
https://t.co/xTHbzR9XxN",Sun Sep 08 22:23:25 +0000 2024,1103,3252
81,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,"L élève Delogu montre qu il n a pas beaucoup fréquenté l école quand il était petit . J ose espérer qu ' avec ses 7500 euros par mois qu il reçoit et qui sont payés par mes impôts  , Sébastien Delogu le député de la France Insoumise pourra se payer un professeur homme pour l https://t.co/FKDwduRgc1",Tue Sep 10 06:15:15 +0000 2024,502,1656
82,Fil Rouge France,Un commentaire ? https://t.co/tuL1EQyKo3,Wed Sep 11 16:05:32 +0000 2024,4064,6655
83,ibtisem 𓂆🕊️,"🇩🇿🇫🇷 | La chaîne algérienne Canal Algérie attaque la presse française après que celle-ci a qualifié l'Algérie de ""régime dictatorial"" en lien avec les élections.

La chaîne dénonce fermement ces accusations affirmant que ""La France est devenue la risée du monde."" https://t.co/LP6WxAeIlG",Sun Sep 08 20:07:29 +0000 2024,787,3904
84,Sista Léa 🥇ن 🇫🇷,L’Allemagne ferme ses frontières sans complexe pour refouler les migrants alors qu’ils ont eu beaucoup moins d’attentats qu’en France ! 🇫🇷 en France on continue à accueillir tous les terroristes de la terre sans réagir ! La Hongrie a raison des les envoyer à BRU 👏🏾 ! #FaceALinfo https://t.co/z2g55KwWIr,Tue Sep 10 17:27:37 +0000 2024,1295,2999
85,Bleu Blanc Rouge ! 🇫🇷,"🚨‼️ [INFO] : Pour avoir refusé les avances d’un homme qu’elle ne connaissait pas et qu’elle venait de croiser, une jeune étudiante de 23 ans a été poignardée à 10 reprises hier soir à Nice. 😡

OUI MONSIEUR DUPONT-MORETTI, LA FRANCE EST BIEN DEVENUE UN COUPE-GORGE! https://t.co/iZ6yfJyQDJ",Wed Sep 11 11:50:05 +0000 2024,3164,5418
86,Dolto,"Vu l'état de la France ... Brigitte Macron dans ""Emily in Paris"", on est dans la catégorie du grotesque, du sordide ou du mépris mondain ? https://t.co/q73JZd3qNL",Thu Sep 12 16:19:04 +0000 2024,441,1283
87,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,"Merci à Sébastien Delogu le député de la France Insoumise de nous montrer que l école,  c etait mieux avant  . Aujourd'hui  , on peut devenir député avec un niveau maternelle en lecture  , Voici quelques réactions sur Sébastien Delogu  . https://t.co/Br52SKDUn7",Wed Sep 11 06:33:01 +0000 2024,271,753
88,🅶🅾🆁🅺,"Images restaurées de 1896 des villes de Paris et de Lyon en France. 

On y voit des piétons et des véhicules d'autrefois à différents endroits des deux villes. 

Ces images ont été principalement filmées et produites par les pionniers du cinéma, les frères Lumière. 

Les frères https://t.co/ZUWIkuOOZk",Tue Sep 10 04:34:37 +0000 2024,827,2728
89,Nintendo France,"Le #GrandFestival a à peine commencé qu'on se jette déjà sur les stands 😎

#Splatoon3 https://t.co/jiysqbIHnt",Fri Sep 13 00:00:00 +0000 2024,68,495
90,Rafael Sereti,"🔴Villeneuve-la-Garenne 🇫🇷
C'est très difficile à croire,  mais là nous ne sommes pas à Bombay,  nous sommes en France. https://t.co/I8dOt5Au0U",Mon Sep 09 18:54:13 +0000 2024,1726,4469
91,Le Crapaud,"🧵 MINI THREAD 🧵

France, 2024

Qu'est-ce que tu penses de ""Un doigt dans la chatte contre le patriarcat"" ?
-C'est pour ta bio TikTok ?
-Mais nan, je réfléchis à des slogans pour les prochaines manifs. Pour la démission de Macron.
-Y'en aura d'autres ? Y'avait personne à la https://t.co/JJcK1loJC5",Wed Sep 11 05:21:04 +0000 2024,346,1147
92,Morocco Intelligence,"🇫🇷🇩🇿| La chaîne d'État algérienne, Canal Algérie, insulte violemment la France en la qualifiant de « risée du monde » suite à des critiques de médias français sur la réélection du président Abdelmadjid Tebboune avec 95% des voix.

« L'Algérie est un grand pays de libertés, stable https://t.co/lCiurogdhI",Sun Sep 08 21:19:45 +0000 2024,765,2065
93,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,Jean Luc Melenchon détaille la stratégie de la France Insoumise sans savoir que le micro était ouvert . A nous de savoir contrer LFI  !!! https://t.co/5ApEYqXEVS,Wed Sep 11 07:17:42 +0000 2024,457,904
94,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,"Des électrices de la France Insoumise avaient déposé des recours contre l interdiction de l abaya comme on le voit sur la vidéo de gauche  . Bonne nouvelle  , il y a eu validation de  l interdiction de l abaya dans les établissements scolaires  !!! On ne veut pas de déguisements https://t.co/DZZl4u4RtA",Wed Sep 11 09:53:12 +0000 2024,185,345
95,TIBO ☔️,Ça c’est tellement ma France,Thu Sep 12 19:00:43 +0000 2024,7187,67527
96,Fil Rouge France,"Un tunisien condamné pour la 14e fois à de la prison ferme est absent de son procès car il est à la sous-préfecture pour être régularisé.
Un commentaire ? https://t.co/hufoBgzZVd",Wed Sep 11 15:02:16 +0000 2024,3038,5584
97,Fil Rouge France,Ce type est-il un abruti ? https://t.co/or2T5yzlUf,Mon Sep 09 17:03:01 +0000 2024,725,3823
98,François Asselineau,"⚠️LE PORTE-PAROLE DE L'AMBASSADE🇷🇺 AURAIT ÉTÉ CONTRAINT DE PARTIR
À confirmer : le Quai d'Orsay n'aurait pas renouvelé l'agrément diplomatique de Makogonov, brillant francophone dont les arguments faisaient mouche sur BFMTV.
De facto, c'est une expulsion.
https://t.co/fzdvzwNtFz",Wed Sep 11 11:58:54 +0000 2024,2134,4196
